Indicator ID,WB Code,Indicator,Pillar,Direction,ISO3,Country,Year,Value,Unit,ObservationStatus,Decimals,SourceLastUpdated,RetrievedAt
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AFG,Afghanistan,2023,90.3076095581055,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AFG,Afghanistan,2019,88.8901214599609,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AFG,Afghanistan,2018,89.8436279296875,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ALB,Albania,2024,107.345321655273,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ALB,Albania,2023,95.1351520460518,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ALB,Albania,2022,101.176280497657,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ALB,Albania,2021,97.2184448015824,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ALB,Albania,2020,99.2719284481406,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ALB,Albania,2019,98.717525153927,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ALB,Albania,2018,102.89417505337,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,DZA,Algeria,2025,98.2448647385429,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,DZA,Algeria,2024,102.422468002168,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,DZA,Algeria,2023,97.5415729665837,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,DZA,Algeria,2022,93.9291038501862,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,DZA,Algeria,2021,98.3576803381485,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,DZA,Algeria,2020,100.705688455269,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,DZA,Algeria,2019,97.5394672160368,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,DZA,Algeria,2018,100.927226302783,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AND,Andorra,2024,67.3548387096774,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AND,Andorra,2023,69.4174757281553,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AND,Andorra,2021,62.5899280575539,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AND,Andorra,2020,62.6398210290828,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AND,Andorra,2019,65.1436031331593,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AND,Andorra,2018,67.7461139896373,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AGO,Angola,2023,47.8556786596463,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AGO,Angola,2021,60.0259394365677,,,0,2026-07-13,2026-08-20 16:40:35.313
